,inv_L,Tc
0,0.0,2.269185314213022
6,0.016666666666666666,2.2716148272086283
5,0.02,2.2682395758696234
4,0.025,2.2683136552119314
3,0.03333333333333333,2.2738919005308644
2,0.05,2.2611975668713216
1,0.1,2.2759257090442806
