,inv_L,Tc
0,0.0,2.269185314213022
6,0.0166666666666666,2.271602515280992
5,0.02,2.268808967069376
4,0.025,2.267077787604157
3,0.0333333333333333,2.271997205786278
2,0.05,2.26065776532233
1,0.1,2.2708900284608418
